id,member,party,country,sector,type
uvl,Ursula von der Leien,CDU,DE,Politik,1
lk,Lars Klingbeil,SPD,DE,Politik,1
nr,Norbert Roettgen,CDU,DE,Politik,1
sw,Sahra Wagenknecht,Linke,DE,Politik,1
cs,Constanze Stelzenmüller,NA,USA,Politik,1
cl,Christian Lindner,FDP,DE,Politik,1
ks,Karl Schloegel,NA,DE,Geschichte,1
lm,Ljudmyla Melnyk,NA,UKR,Wissenschaft,1
kd,Kristina Dunz,NA,DE,Journalismus,1
el,Egils Levits,NA,LE,Politik,1
ab,Annalena Baerbock,Gruenen,DE,Politik,1
ft,Frans Timmermans,GLPvda,NE,Politik,1
am,Andrij Melnyk,NA,UKR,Politik,1
agl,Alexander Graf Lambsdorff ,FDP,DE,Politik,1
em,Egon Ramms,NA,DE,Militär,1
rh,Robert Habeck,Gruenen,DE,Politik,1
cm,Claudia Major,NA,DE,Wissenschaft,1
kp,Katja Petrowskaja,NA,UKR,Journalismus,1
rk,Roderich Kiesewetter,CDU,DE,Politik,1
cl,Christine Lambrecht,SPD,DE,Politik,1
sb,Stefanie Babst,NA,UKR,Journalismus,1
ch,Christoph Heusgen,NA,DE,Politik,1
mw,Marina Weisband,NA,UKR,Politik,1
os,Olaf Scholz,SPD,DE,Politik,1
cdu,CDU,CDU,NA,Politik,2
spd,SPD,SPD,NA,Politik,2
fdp,FDP,FDP,NA,Politik,2
linke,Die Linke,Linke,NA,Politik,2
gruene,Die Gruenen,Gruenen,NA,Politik,2
glpvda,GL Pvda,GLPvda,NA,Politik,2
500,Folge 500,NA,NA,NA,NA
501,Folge 501,NA,NA,NA,NA
502,Folge 502,NA,NA,NA,NA
503,Folge 503,NA,NA,NA,NA
504,Folge 504,NA,,NA,NA
505,Folge 505,NA,NA,NA,NA
