id,member,party,country,type
uvl,Ursula von der Leien,CDU,DE,1
lk,Lars Klingbeil,SPD,DE,1
nr,Norbert Roettgen,CDU,DE,1
sw,Sahra Wagenknecht,Linke,DE,1
cs,Constanze Stelzenmüller,NA,USA,1
cl,Christian Lindner,FDP,DE,1
ks,Karl Schloegel,NA,DE,1
lm,Ljudmyla Melnyk,NA,UKR,1
kd,Kristina Dunz,NA,DE,1
el,Egils Levits,NA,LE,1
ab,Annalena Baerbock,Gruenen,DE,1
ft,Frans Timmermans,GLPvda,NE,1
am,Andrij Melnyk,NA,UKR,1
agl,Alexander Graf Lambsdorff ,FDP,DE,1
em,Egon Ramms,NA,DE,1
rh,Robert Habeck,Gruenen,DE,1
cm,Claudia Major,NA,DE,1
kp,Katja Petrowskaja,NA,UKR,1
rk,Roderich Kiesewetter,CDU,DE,1
cl,Christine Lambrecht,SPD,DE,1
sb,Stefanie Babst,NA,UKR,1
ch,Christoph Heusgen,NA,DE,1
mw,Marina Weisband,NA,UKR,1
os,Olaf Scholz,SPD,DE,1
cdu,CDU,CDU,NA,2
spd,SPD,SPD,NA,2
fdp,FDP,FDP,NA,2
linke,Die Linke,Linke,NA,2
gruene,Die Gruenen,Gruenen,NA,2
glpvda,GL Pvda,GLPvda,NA,2
